,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
1211,CA,RE Bruceville 2 LLC,IPP Non-CHP,Sacramento,38.3475,-121.412777,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,10941,,0,0,0,0,0,0,10941,0,0,0,10941
1212,CA,RE Bruceville 3 LLC,IPP Non-CHP,Sacramento,38.3475,-121.412777,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11464,,0,0,0,0,0,0,11464,0,0,0,11464
1213,CA,RE Camelot LLC,IPP Non-CHP,Kern,35.026667,-118.185556,Onward Energy,California Independent System Operator,SOLAR,45,120516,,0,0,0,0,0,0,120516,0,0,0,120516
1214,CA,RE Columbia 3 LLC,IPP Non-CHP,Kern,35.024722,-118.164167,MN8 Energy LLC,California Independent System Operator,SOLAR,10,20803,,0,0,0,0,0,0,20803,0,0,0,20803
1215,CA,"RE Columbia Two, LLC",IPP Non-CHP,Kern,35.026667,-118.185556,Onward Energy,California Independent System Operator,SOLAR,15,39009,,0,0,0,0,0,0,39009,0,0,0,39009
1216,CA,RE Dillard 1 LLC,IPP Non-CHP,Sacramento,38.468611,-121.181944,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,3,6585,,0,0,0,0,0,0,6585,0,0,0,6585
1217,CA,RE Dillard 2 LLC,IPP Non-CHP,Sacramento,38.466111,-121.177778,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,3,6726,,0,0,0,0,0,0,6726,0,0,0,6726
1218,CA,RE Dillard 3 LLC,IPP Non-CHP,Sacramento,38.461944,-121.180278,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,3,6714,,0,0,0,0,0,0,6714,0,0,0,6714
1219,CA,RE Dillard 4 LLC,IPP Non-CHP,Sacramento,38.461944,-121.180278,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,0.4,,,,,,,,,,,,,
1220,CA,RE Garland,IPP Non-CHP,Kern,34.825267,-118.524989,Southern Power Co,California Independent System Operator,SOLAR,273.1,432904,,0,0,0,0,0,0,446900,0,0,-13996,446900
